tag,dataset,draw,endpoint,information_regime,removal_kind,rank,fit_removed_energy_fraction,variance_match_abs_error,cohen_kappa,balanced_accuracy,nll,n_units,prediction_sha256,delta_kappa_vs_unchanged,delta_bacc_vs_unchanged,delta_nll_vs_unchanged
H200_s1,seedv,11,fresh_head,global_oracle,same_rank_random,15,0.021502968061628845,0.0,0.11170212765957444,0.2893617021276596,1.9480935898468503,235,db4a3e07c6a1afd98b858be432b9d58d59b46f655b1ec9291bfae8658d6186fd,-0.010638297872340496,-0.008510638297872353,0.0069078926565095955
H200_s1,seedv,11,exact_head,global_oracle,same_rank_random,15,0.021502968061628845,0.0,0.06914893617021278,0.25531914893617025,1.9100670051375246,235,bdb1abf65ffdd003e18a16a36cad11ff12df66e62a7f59277ddfa55c4b399530,-0.05319148936170215,-0.04255319148936171,-0.031118692052816144
H200_s1,seedv,11,fresh_head,global_oracle,variance_matched_random,183,0.8849221028824042,0.0,0.06382978723404253,0.251063829787234,1.641106525746814,235,70c5d79d4de68ec8b921c5bd3caf360e34e1527dd4580a64635f51d8cdfab620,-0.0585106382978724,-0.04680851063829794,-0.3000791714435267
H200_s1,seedv,11,exact_head,global_oracle,variance_matched_random,183,0.8849221028824042,0.0,0.0,0.2,2.4366515307067287,235,97be2607ef5ed71843497760c9f64fa93b37f91678829f894536bd9e209184e3,-0.12234042553191493,-0.09787234042553195,0.49546583351638795
H200_s1,seedv,12,fresh_head,global_oracle,same_rank_random,15,0.014595085764837078,0.0,0.06914893617021278,0.25531914893617025,1.9323713173268398,235,293531d7b82b1697048d90cc48849645abd684b59825542e21f1e6f92567f362,-0.05319148936170215,-0.04255319148936171,-0.008814379863500976
H200_s1,seedv,12,exact_head,global_oracle,same_rank_random,15,0.014595085764837078,0.0,0.07978723404255317,0.26382978723404255,1.9157957123481635,235,826bc96644d01c93b63fd71833e0809ee27a9abd55666f93b6250394c7f5e7ec,-0.042553191489361764,-0.03404255319148941,-0.02538998484217725
H200_s1,seedv,12,fresh_head,global_oracle,variance_matched_random,172,0.8849221028824045,2.220446049250313e-16,0.07978723404255306,0.26382978723404255,1.7309773231019547,235,427faa9ab02732916b612b5229bda6e143a971683cef414a48d56ae0f99fd15e,-0.042553191489361875,-0.03404255319148941,-0.210208374088386
H200_s1,seedv,12,exact_head,global_oracle,variance_matched_random,172,0.8849221028824045,2.220446049250313e-16,0.05319148936170215,0.24255319148936166,2.26654317084526,235,3870a440cfcf5d06b450e5f7da6802b3a685cfc3d30adf2d134b1ec9a161464f,-0.06914893617021278,-0.05531914893617029,0.3253574736549194
H200_s1,seedv,13,fresh_head,global_oracle,same_rank_random,15,0.020393307482023258,0.0,0.11170212765957444,0.2893617021276596,1.9064205710783746,235,22a3566e187a07aea87925b0a3207fc98189ea54c5637ac7401491c3e43882b3,-0.010638297872340496,-0.008510638297872353,-0.03476512611196614
H200_s1,seedv,13,exact_head,global_oracle,same_rank_random,15,0.020393307482023258,0.0,0.0957446808510638,0.276595744680851,1.8995403380481999,235,20c4ec8aef1dc3015a2fd860087fbf06fd34c8e9ae5ca719327d9062980498a4,-0.02659574468085113,-0.021276595744680937,-0.04164535914214085
