feature_set,path,kernel,bandwidth_factor,statistic,trajectory_template,row_count,association
strict_source_G3_architecture,strict_source,laplacian,1.0,centered_hsic,seed-2|level-0|S0_full_support,36,0.1423632859798232
strict_source_G3_architecture,strict_source,laplacian,1.0,centered_hsic,seed-2|level-1|S0_full_support,36,0.12100904474625353
strict_source_G3_architecture,strict_source,laplacian,2.0,normalized_alignment,seed-0|level-0|S0_full_support,36,-0.029337408857133828
strict_source_G3_architecture,strict_source,laplacian,2.0,normalized_alignment,seed-0|level-1|S0_full_support,36,-0.021294894963366427
strict_source_G3_architecture,strict_source,laplacian,2.0,normalized_alignment,seed-1|level-0|S0_full_support,36,-0.026511359553086863
strict_source_G3_architecture,strict_source,laplacian,2.0,normalized_alignment,seed-1|level-1|S0_full_support,36,-0.02697562109653084
strict_source_G3_architecture,strict_source,laplacian,2.0,normalized_alignment,seed-2|level-0|S0_full_support,36,-0.027294493847116953
strict_source_G3_architecture,strict_source,laplacian,2.0,normalized_alignment,seed-2|level-1|S0_full_support,36,-0.02948440874774207
strict_source_G3_architecture,strict_source,laplacian,2.0,centered_hsic,seed-0|level-0|S0_full_support,36,0.1196883658650693
strict_source_G3_architecture,strict_source,laplacian,2.0,centered_hsic,seed-0|level-1|S0_full_support,36,0.16785795781020404
strict_source_G3_architecture,strict_source,laplacian,2.0,centered_hsic,seed-1|level-0|S0_full_support,36,0.13830054695610317
strict_source_G3_architecture,strict_source,laplacian,2.0,centered_hsic,seed-1|level-1|S0_full_support,36,0.13249205239524087
strict_source_G3_architecture,strict_source,laplacian,2.0,centered_hsic,seed-2|level-0|S0_full_support,36,0.13215799979151086
strict_source_G3_architecture,strict_source,laplacian,2.0,centered_hsic,seed-2|level-1|S0_full_support,36,0.1040179038215483
strict_source_G4_coordinates,strict_source,rbf,0.5,normalized_alignment,seed-0|level-0|S0_full_support,36,-0.032638313219441
strict_source_G4_coordinates,strict_source,rbf,0.5,normalized_alignment,seed-0|level-1|S0_full_support,36,-0.01775455200094646
strict_source_G4_coordinates,strict_source,rbf,0.5,normalized_alignment,seed-1|level-0|S0_full_support,36,0.020712883638700816
strict_source_G4_coordinates,strict_source,rbf,0.5,normalized_alignment,seed-1|level-1|S0_full_support,36,0.010079737657787073
strict_source_G4_coordinates,strict_source,rbf,0.5,normalized_alignment,seed-2|level-0|S0_full_support,36,-0.052613963476899325
strict_source_G4_coordinates,strict_source,rbf,0.5,normalized_alignment,seed-2|level-1|S0_full_support,36,-0.02758526507575901
strict_source_G4_coordinates,strict_source,rbf,0.5,centered_hsic,seed-0|level-0|S0_full_support,36,0.1018811247301259
strict_source_G4_coordinates,strict_source,rbf,0.5,centered_hsic,seed-0|level-1|S0_full_support,36,0.12264854822844545
strict_source_G4_coordinates,strict_source,rbf,0.5,centered_hsic,seed-1|level-0|S0_full_support,36,0.16037706937686544
strict_source_G4_coordinates,strict_source,rbf,0.5,centered_hsic,seed-1|level-1|S0_full_support,36,0.1594525234409735
strict_source_G4_coordinates,strict_source,rbf,0.5,centered_hsic,seed-2|level-0|S0_full_support,36,0.08093825561322847
