feature_set,path,conditioning,kernel,bandwidth_factor,statistic,association
target_unlabeled_G2_Wz,target_unlabeled,functional_logits_probabilities,laplacian,0.5,centered_hsic,0.22337595918443812
target_unlabeled_G2_Wz,target_unlabeled,metadata_seed_level_order,laplacian,1.0,normalized_alignment,0.0011047093091321066
target_unlabeled_G2_Wz,target_unlabeled,source_performance,laplacian,1.0,normalized_alignment,-0.009207985507820001
target_unlabeled_G2_Wz,target_unlabeled,construction_competence,laplacian,1.0,normalized_alignment,-0.030086279670985712
target_unlabeled_G2_Wz,target_unlabeled,functional_logits_probabilities,laplacian,1.0,normalized_alignment,-0.019605362659925532
target_unlabeled_G2_Wz,target_unlabeled,metadata_seed_level_order,laplacian,1.0,centered_hsic,0.2577590245195912
target_unlabeled_G2_Wz,target_unlabeled,source_performance,laplacian,1.0,centered_hsic,0.24897020198413097
target_unlabeled_G2_Wz,target_unlabeled,construction_competence,laplacian,1.0,centered_hsic,0.19330576639300961
target_unlabeled_G2_Wz,target_unlabeled,functional_logits_probabilities,laplacian,1.0,centered_hsic,0.22065518279321614
target_unlabeled_G2_Wz,target_unlabeled,metadata_seed_level_order,laplacian,2.0,normalized_alignment,-0.020341640935094663
target_unlabeled_G2_Wz,target_unlabeled,source_performance,laplacian,2.0,normalized_alignment,-0.026884596062229718
target_unlabeled_G2_Wz,target_unlabeled,construction_competence,laplacian,2.0,normalized_alignment,-0.03800958879898366
target_unlabeled_G2_Wz,target_unlabeled,functional_logits_probabilities,laplacian,2.0,normalized_alignment,-0.0317996367982198
target_unlabeled_G2_Wz,target_unlabeled,metadata_seed_level_order,laplacian,2.0,centered_hsic,0.25345564927977826
target_unlabeled_G2_Wz,target_unlabeled,source_performance,laplacian,2.0,centered_hsic,0.2426962449132612
target_unlabeled_G2_Wz,target_unlabeled,construction_competence,laplacian,2.0,centered_hsic,0.17924872801974476
target_unlabeled_G2_Wz,target_unlabeled,functional_logits_probabilities,laplacian,2.0,centered_hsic,0.21347167338745704
target_unlabeled_G2_F4_invariant_tail,target_unlabeled,metadata_seed_level_order,rbf,0.5,normalized_alignment,0.053608462798544115
target_unlabeled_G2_F4_invariant_tail,target_unlabeled,source_performance,rbf,0.5,normalized_alignment,0.04641525031442338
target_unlabeled_G2_F4_invariant_tail,target_unlabeled,construction_competence,rbf,0.5,normalized_alignment,0.001219854939231097
target_unlabeled_G2_F4_invariant_tail,target_unlabeled,functional_logits_probabilities,rbf,0.5,normalized_alignment,0.008979304621327882
target_unlabeled_G2_F4_invariant_tail,target_unlabeled,metadata_seed_level_order,rbf,0.5,centered_hsic,0.24970585098271522
target_unlabeled_G2_F4_invariant_tail,target_unlabeled,source_performance,rbf,0.5,centered_hsic,0.2481939491944207
target_unlabeled_G2_F4_invariant_tail,target_unlabeled,construction_competence,rbf,0.5,centered_hsic,0.1926141244534163
target_unlabeled_G2_F4_invariant_tail,target_unlabeled,functional_logits_probabilities,rbf,0.5,centered_hsic,0.20792257869103023
target_unlabeled_G2_F4_invariant_tail,target_unlabeled,metadata_seed_level_order,rbf,1.0,normalized_alignment,-0.0003813016420514831
target_unlabeled_G2_F4_invariant_tail,target_unlabeled,source_performance,rbf,1.0,normalized_alignment,-0.011217962029706182
target_unlabeled_G2_F4_invariant_tail,target_unlabeled,construction_competence,rbf,1.0,normalized_alignment,-0.026649297024636094
target_unlabeled_G2_F4_invariant_tail,target_unlabeled,functional_logits_probabilities,rbf,1.0,normalized_alignment,-0.026977965385948925
target_unlabeled_G2_F4_invariant_tail,target_unlabeled,metadata_seed_level_order,rbf,1.0,centered_hsic,0.23622962034132908
target_unlabeled_G2_F4_invariant_tail,target_unlabeled,source_performance,rbf,1.0,centered_hsic,0.22393031005278063
target_unlabeled_G2_F4_invariant_tail,target_unlabeled,construction_competence,rbf,1.0,centered_hsic,0.15657243391540596
target_unlabeled_G2_F4_invariant_tail,target_unlabeled,functional_logits_probabilities,rbf,1.0,centered_hsic,0.16564573373039232
target_unlabeled_G2_F4_invariant_tail,target_unlabeled,metadata_seed_level_order,rbf,2.0,normalized_alignment,-0.03159477805087903
target_unlabeled_G2_F4_invariant_tail,target_unlabeled,source_performance,rbf,2.0,normalized_alignment,-0.03647728633700373
target_unlabeled_G2_F4_invariant_tail,target_unlabeled,construction_competence,rbf,2.0,normalized_alignment,-0.04131841616648671
target_unlabeled_G2_F4_invariant_tail,target_unlabeled,functional_logits_probabilities,rbf,2.0,normalized_alignment,-0.04010302818464548
target_unlabeled_G2_F4_invariant_tail,target_unlabeled,metadata_seed_level_order,rbf,2.0,centered_hsic,0.19745004243071126
target_unlabeled_G2_F4_invariant_tail,target_unlabeled,source_performance,rbf,2.0,centered_hsic,0.17845353874523376
target_unlabeled_G2_F4_invariant_tail,target_unlabeled,construction_competence,rbf,2.0,centered_hsic,0.11902588859604801
target_unlabeled_G2_F4_invariant_tail,target_unlabeled,functional_logits_probabilities,rbf,2.0,centered_hsic,0.13942942041613593
target_unlabeled_G2_F4_invariant_tail,target_unlabeled,metadata_seed_level_order,laplacian,0.5,normalized_alignment,0.031237659051730857
target_unlabeled_G2_F4_invariant_tail,target_unlabeled,source_performance,laplacian,0.5,normalized_alignment,0.019330147553729613
target_unlabeled_G2_F4_invariant_tail,target_unlabeled,construction_competence,laplacian,0.5,normalized_alignment,-0.011210008607948008
target_unlabeled_G2_F4_invariant_tail,target_unlabeled,functional_logits_probabilities,laplacian,0.5,normalized_alignment,-0.006845064223454924
target_unlabeled_G2_F4_invariant_tail,target_unlabeled,metadata_seed_level_order,laplacian,0.5,centered_hsic,0.24907479546149963
target_unlabeled_G2_F4_invariant_tail,target_unlabeled,source_performance,laplacian,0.5,centered_hsic,0.24274128957166516
target_unlabeled_G2_F4_invariant_tail,target_unlabeled,construction_competence,laplacian,0.5,centered_hsic,0.21234893451242
target_unlabeled_G2_F4_invariant_tail,target_unlabeled,functional_logits_probabilities,laplacian,0.5,centered_hsic,0.22010833912996905
target_unlabeled_G2_F4_invariant_tail,target_unlabeled,metadata_seed_level_order,laplacian,1.0,normalized_alignment,-0.0007692448281723356
target_unlabeled_G2_F4_invariant_tail,target_unlabeled,source_performance,laplacian,1.0,normalized_alignment,-0.010348317187616385
target_unlabeled_G2_F4_invariant_tail,target_unlabeled,construction_competence,laplacian,1.0,normalized_alignment,-0.026651385565429273
target_unlabeled_G2_F4_invariant_tail,target_unlabeled,functional_logits_probabilities,laplacian,1.0,normalized_alignment,-0.025750546461912716
target_unlabeled_G2_F4_invariant_tail,target_unlabeled,metadata_seed_level_order,laplacian,1.0,centered_hsic,0.25616908965025004
target_unlabeled_G2_F4_invariant_tail,target_unlabeled,source_performance,laplacian,1.0,centered_hsic,0.246058345434868
target_unlabeled_G2_F4_invariant_tail,target_unlabeled,construction_competence,laplacian,1.0,centered_hsic,0.19919157939763946
target_unlabeled_G2_F4_invariant_tail,target_unlabeled,functional_logits_probabilities,laplacian,1.0,centered_hsic,0.21217966293529048
target_unlabeled_G2_F4_invariant_tail,target_unlabeled,metadata_seed_level_order,laplacian,2.0,normalized_alignment,-0.021701408487399418
target_unlabeled_G2_F4_invariant_tail,target_unlabeled,source_performance,laplacian,2.0,normalized_alignment,-0.027778217704067146
target_unlabeled_G2_F4_invariant_tail,target_unlabeled,construction_competence,laplacian,2.0,normalized_alignment,-0.03631335312728557
target_unlabeled_G2_F4_invariant_tail,target_unlabeled,functional_logits_probabilities,laplacian,2.0,normalized_alignment,-0.035643353291481925
target_unlabeled_G2_F4_invariant_tail,target_unlabeled,metadata_seed_level_order,laplacian,2.0,centered_hsic,0.25058595435729464
target_unlabeled_G2_F4_invariant_tail,target_unlabeled,source_performance,laplacian,2.0,centered_hsic,0.237205215214961
target_unlabeled_G2_F4_invariant_tail,target_unlabeled,construction_competence,laplacian,2.0,centered_hsic,0.1829869913787925
target_unlabeled_G2_F4_invariant_tail,target_unlabeled,functional_logits_probabilities,laplacian,2.0,centered_hsic,0.20091040811443878
target_unlabeled_G3_architecture,target_unlabeled,metadata_seed_level_order,rbf,0.5,normalized_alignment,0.032132577744026586
target_unlabeled_G3_architecture,target_unlabeled,source_performance,rbf,0.5,normalized_alignment,0.04339119905198341
target_unlabeled_G3_architecture,target_unlabeled,construction_competence,rbf,0.5,normalized_alignment,-0.007442723702312165
target_unlabeled_G3_architecture,target_unlabeled,functional_logits_probabilities,rbf,0.5,normalized_alignment,-0.0012901859630525907
