target_id,level,regime,prefix_size,raw_M,effective_M_epsilon_0.05,top_two_gap,top1_miss,selected_true_rank,continuous_regret,standardized_regret,construction_eval_spearman,endpoint_derived_geometry_diagnostic_only
5,0,SRC,10,10,1,0.19999999999999996,0,1,0.0,0.0,0.7818181818181817,1
5,0,SRC,20,20,1,0.19999999999999996,0,1,0.0,0.0,0.7411589758020227,1
5,0,SRC,40,40,2,0.004166666666666763,0,1,0.0,0.0,0.7477832586381048,1
5,1,OACI,5,5,1,0.13750000000000007,0,1,0.0,0.0,0.7999999999999999,1
5,1,OACI,10,10,1,0.13750000000000007,0,1,0.0,0.0,0.709090909090909,1
5,1,OACI,20,20,2,0.03750000000000009,0,1,0.0,0.0,0.5656262152541203,1
5,1,OACI,40,40,2,0.03750000000000009,0,1,0.0,0.0,0.5183221559347763,1
5,1,SRC,5,5,1,0.15833333333333333,1,2,0.15833333333333333,0.4000000000000001,0.7999999999999999,1
5,1,SRC,10,10,1,0.15833333333333333,1,2,0.15833333333333333,0.35514018691588783,0.3039527718400323,1
5,1,SRC,20,20,1,0.15833333333333333,1,2,0.15833333333333333,0.2733812949640288,0.43905191873589156,1
5,1,SRC,40,40,1,0.06249999999999989,1,2,0.06249999999999989,0.06637168141592908,0.7779967167839541,1
6,0,OACI,5,5,1,0.11250000000000016,1,2,0.11250000000000016,0.20769230769230795,0.3,1
6,0,OACI,10,10,2,0.04583333333333328,0,1,0.0,0.0,0.7696969696969697,1
6,0,OACI,20,20,2,0.04583333333333328,0,1,0.0,0.0,0.7609022556390977,1
6,0,OACI,40,40,2,0.012499999999999956,0,1,0.0,0.0,0.7758434688107544,1
6,0,SRC,5,5,1,0.1166666666666667,0,1,0.0,0.0,0.9999999999999999,1
6,0,SRC,10,10,1,0.1166666666666667,1,3,0.15833333333333333,0.49350649350649345,0.6,1
6,0,SRC,20,20,1,0.07500000000000001,0,1,0.0,0.0,0.42754989855373216,1
6,0,SRC,40,40,2,0.01666666666666672,0,1,0.0,0.0,0.749777110133005,1
6,1,OACI,5,5,1,0.06666666666666676,0,1,0.0,0.0,0.7,1
6,1,OACI,10,10,2,0.04166666666666663,0,1,0.0,0.0,0.7294866524160775,1
6,1,OACI,20,20,3,0.04166666666666663,1,3,0.050000000000000155,0.07792207792207816,0.7599701173198404,1
6,1,OACI,40,40,4,0.025000000000000022,1,4,0.050000000000000155,0.07792207792207816,0.585847684939477,1
6,1,SRC,5,5,1,0.06250000000000006,0,1,0.0,0.0,0.051298917604257706,1
6,1,SRC,10,10,3,0.012499999999999956,1,2,0.012499999999999956,0.045454545454545296,0.37690143708164003,1
6,1,SRC,20,20,4,0.004166666666666652,1,3,0.016666666666666607,0.03773584905660365,0.49773812272749657,1
6,1,SRC,40,40,1,0.1250000000000001,1,2,0.1250000000000001,0.12987012987012997,0.707832534837101,1
7,0,OACI,5,5,1,0.08333333333333326,1,5,0.3708333333333334,1.0,-0.09999999999999999,1
7,0,OACI,10,10,2,0.008333333333333304,1,10,0.4791666666666667,1.0,0.12727272727272726,1
7,0,OACI,20,20,3,0.012500000000000067,0,1,0.0,0.0,0.5759398496240601,1
7,0,OACI,40,40,6,0.02083333333333326,1,5,0.04583333333333339,0.05116279069767449,0.6291760538215231,1
7,0,SRC,5,5,3,0.02499999999999991,1,4,0.0666666666666666,0.5161290322580641,-0.6,1
7,0,SRC,10,10,3,0.02499999999999991,1,4,0.0666666666666666,0.3076923076923074,0.309090909090909,1
7,0,SRC,20,20,3,0.02499999999999991,1,4,0.0666666666666666,0.1739130434782607,0.6120300751879698,1
7,0,SRC,40,40,1,0.12083333333333335,0,1,0.0,0.0,0.7839714714714714,1
7,1,OACI,5,5,1,0.12916666666666665,1,2,0.12916666666666665,0.2540983606557377,0.6,1
7,1,OACI,10,10,1,0.0708333333333333,1,6,0.22916666666666663,0.39568345323741005,0.41945482513924454,1
7,1,OACI,20,20,2,0.029166666666666563,1,10,0.22916666666666663,0.39568345323741005,0.7112200811586468,1
7,1,OACI,40,40,2,0.029166666666666563,1,13,0.22916666666666663,0.39568345323741005,0.6148864303413807,1
7,1,SRC,5,5,1,0.30000000000000004,1,2,0.30000000000000004,0.6857142857142857,0.3,1
