budget,endpoint,order,component,component_code,mean_marginal_gain
8,bAcc,U->S->G->E->N,candidate_specific_unexplained_residual,G,0.8888888888888888
8,bAcc,U->G->N->E->S,candidate_specific_unexplained_residual,G,0.7777777777777778
8,bAcc,U->G->N->S->E,candidate_specific_unexplained_residual,G,0.7777777777777778
8,bAcc,U->G->E->N->S,candidate_specific_unexplained_residual,G,0.7777777777777778
8,bAcc,U->G->E->S->N,candidate_specific_unexplained_residual,G,0.7777777777777778
8,bAcc,U->G->S->N->E,candidate_specific_unexplained_residual,G,0.7777777777777778
8,bAcc,U->G->S->E->N,candidate_specific_unexplained_residual,G,0.7777777777777778
8,bAcc,S->N->E->U->G,candidate_specific_unexplained_residual,G,0.11965847772985379
8,bAcc,S->N->E->G->U,candidate_specific_unexplained_residual,G,0.11965847772985379
8,bAcc,S->N->U->E->G,candidate_specific_unexplained_residual,G,0.11965847772985379
8,bAcc,S->N->U->G->E,candidate_specific_unexplained_residual,G,0.8888888888888888
8,bAcc,S->N->G->E->U,candidate_specific_unexplained_residual,G,0.8888888888888888
8,bAcc,S->N->G->U->E,candidate_specific_unexplained_residual,G,0.8888888888888888
8,bAcc,S->E->N->U->G,candidate_specific_unexplained_residual,G,0.11965847772985379
8,bAcc,S->E->N->G->U,candidate_specific_unexplained_residual,G,0.11965847772985379
8,bAcc,S->E->U->N->G,candidate_specific_unexplained_residual,G,0.11965847772985379
8,bAcc,S->E->U->G->N,candidate_specific_unexplained_residual,G,0.11965847772985379
8,bAcc,S->E->G->N->U,candidate_specific_unexplained_residual,G,0.11965847772985379
8,bAcc,S->E->G->U->N,candidate_specific_unexplained_residual,G,0.11965847772985379
8,bAcc,S->U->N->E->G,candidate_specific_unexplained_residual,G,0.11965847772985379
8,bAcc,S->U->N->G->E,candidate_specific_unexplained_residual,G,0.8888888888888888
8,bAcc,S->U->E->N->G,candidate_specific_unexplained_residual,G,0.11965847772985379
8,bAcc,S->U->E->G->N,candidate_specific_unexplained_residual,G,0.11965847772985379
8,bAcc,S->U->G->N->E,candidate_specific_unexplained_residual,G,0.8888888888888888
8,bAcc,S->U->G->E->N,candidate_specific_unexplained_residual,G,0.8888888888888888
8,bAcc,S->G->N->E->U,candidate_specific_unexplained_residual,G,0.8888888888888888
