dataset,target_subject,method,n_source_seeds,bacc_q01,bacc_q05,bacc_q09,acc_q01,acc_q05,acc_q09,prevalence_sensitivity,endpoint_mean_bacc,worst_prevalence_bacc,prediction_disagreement_q01_vs_q05,prediction_disagreement_q09_vs_q05,endpoint_mean_prediction_disagreement
Lee2019_MI,10,spdim_geodesic,3,0.7066666666666667,0.7066666666666667,0.6666666666666666,0.7066666666666667,0.7066666666666667,0.6666666666666666,0.020000000000000018,0.6866666666666666,0.6666666666666666,0.16,0.16,0.16
Lee2019_MI,10,spdim_bias,3,0.7066666666666667,0.7133333333333333,0.6933333333333334,0.7066666666666667,0.7133333333333333,0.6933333333333334,0.013333333333333253,0.7,0.6933333333333334,0.12666666666666668,0.20666666666666667,0.16666666666666669
Lee2019_MI,10,Joint-GEM,3,0.6533333333333332,0.68,0.6999999999999998,0.6533333333333333,0.68,0.6999999999999998,0.023333333333333317,0.6766666666666665,0.6533333333333332,0.12,0.15333333333333335,0.13666666666666666
Lee2019_MI,10,FP-GEM,3,0.6599999999999999,0.6933333333333334,0.6866666666666666,0.66,0.6933333333333334,0.6866666666666666,0.020000000000000073,0.6733333333333333,0.6599999999999999,0.12666666666666668,0.15333333333333335,0.14
Lee2019_MI,11,source_only_tsmnet,3,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.0,0.5333333333333333,0.5333333333333333,0.0,0.0,0.0
Lee2019_MI,11,rct,3,0.6466666666666666,0.6733333333333333,0.6533333333333333,0.6466666666666666,0.6733333333333333,0.6533333333333333,0.023333333333333373,0.6499999999999999,0.6466666666666666,0.04,0.06,0.05
Lee2019_MI,11,spdim_geodesic,3,0.6533333333333333,0.6533333333333333,0.6533333333333333,0.6533333333333333,0.6533333333333333,0.6533333333333333,0.0,0.6533333333333333,0.6533333333333333,0.013333333333333334,0.05333333333333334,0.03333333333333333
Lee2019_MI,11,spdim_bias,3,0.66,0.6533333333333333,0.6666666666666666,0.66,0.6533333333333333,0.6666666666666666,0.010000000000000009,0.6633333333333333,0.66,0.06,0.08,0.07
Lee2019_MI,11,Joint-GEM,3,0.6533333333333333,0.6266666666666668,0.6200000000000001,0.6533333333333333,0.6266666666666666,0.6200000000000001,0.016666666666666607,0.6366666666666667,0.6200000000000001,0.09333333333333334,0.07333333333333333,0.08333333333333334
Lee2019_MI,11,FP-GEM,3,0.64,0.6333333333333333,0.6333333333333333,0.64,0.6333333333333333,0.6333333333333333,0.003333333333333355,0.6366666666666667,0.6333333333333333,0.06,0.08,0.07
Lee2019_MI,12,source_only_tsmnet,3,0.5666666666666668,0.5666666666666668,0.5666666666666668,0.5666666666666668,0.5666666666666668,0.5666666666666668,0.0,0.5666666666666668,0.5666666666666668,0.0,0.0,0.0
Lee2019_MI,12,rct,3,0.6466666666666666,0.68,0.64,0.6466666666666666,0.68,0.64,0.036666666666666736,0.6433333333333333,0.64,0.12666666666666668,0.19999999999999998,0.16333333333333333
Lee2019_MI,12,spdim_geodesic,3,0.6666666666666666,0.68,0.6333333333333334,0.6666666666666666,0.68,0.6333333333333333,0.030000000000000027,0.65,0.6333333333333334,0.10666666666666667,0.16666666666666666,0.13666666666666666
Lee2019_MI,12,spdim_bias,3,0.6733333333333333,0.6733333333333333,0.6666666666666666,0.6733333333333332,0.6733333333333333,0.6666666666666666,0.003333333333333355,0.6699999999999999,0.6666666666666666,0.12,0.07333333333333333,0.09666666666666666
Lee2019_MI,12,Joint-GEM,3,0.6933333333333334,0.6599999999999999,0.6533333333333334,0.6933333333333334,0.66,0.6533333333333333,0.019999999999999962,0.6733333333333333,0.6533333333333334,0.12666666666666668,0.12666666666666668,0.12666666666666668
